entity_id,entity_type,home_city,home_lat,home_lon,typical_device,typical_auth,login_start,login_end,sessions_per_day_lambda,session_duration_mean,typical_resources
user_0000,user,New York,40.7128,-74.006,Windows11-0F:2F:6F:77:0D:65,biometric,10,16,2.9762312811225993,537.1138077059286,"[""resource_007"", ""resource_009"", ""resource_015"", ""resource_016"", ""resource_018"", ""resource_044"", ""resource_048"", ""resource_056""]"
user_0001,user,New York,40.7128,-74.006,macOS14-34:2F:C2:31:B7:B0,certificate,7,18,3.893032680516953,1487.547802704496,"[""resource_018"", ""resource_022"", ""resource_028"", ""resource_045""]"
service_account_0002,service_account,Cape Town,-33.9249,18.4241,FirmwareV3-B9:62:23:17:74:94,password,0,23,6.86428441891259,1565.614708044538,"[""resource_006"", ""resource_025"", ""resource_060""]"
edge_device_0003,edge_device,Frankfurt,50.1109,8.6821,Windows10-88:24:57:7D:53:EC,biometric,0,23,8.701809671168826,617.3154793905303,"[""resource_011"", ""resource_024"", ""resource_030"", ""resource_041"", ""resource_054""]"
edge_device_0004,edge_device,Bengaluru,12.9716,77.5946,Windows11-A1:CD:89:21:6C:A1,token,0,23,7.290480719641044,1241.8106377777058,"[""resource_004"", ""resource_015"", ""resource_021"", ""resource_044"", ""resource_050"", ""resource_054"", ""resource_056""]"
user_0005,user,Dubai,25.2048,55.2708,Ubuntu22-CC:B9:70:46:FC:2E,password,10,19,3.3675345291306447,1574.9867136599987,"[""resource_009"", ""resource_010"", ""resource_016"", ""resource_017"", ""resource_036"", ""resource_048""]"
user_0006,user,Mumbai,19.076,72.8777,Windows11-88:AE:39:96:DE:50,biometric,8,15,3.2007085256412964,185.25741208480144,"[""resource_005"", ""resource_025"", ""resource_028"", ""resource_030"", ""resource_034"", ""resource_039"", ""resource_057"", ""resource_059""]"
service_account_0007,service_account,Bengaluru,12.9716,77.5946,macOS14-65:4E:BF:52:00:A5,biometric,0,23,9.09362998885737,211.55232266504834,"[""resource_007"", ""resource_012"", ""resource_033"", ""resource_049"", ""resource_059""]"
edge_device_0008,edge_device,Sydney,-33.8688,151.2093,Windows11-F8:23:40:41:F3:54,certificate,0,23,14.46949445297994,1034.8315356175715,"[""resource_004"", ""resource_016"", ""resource_037"", ""resource_057""]"
user_0009,user,Singapore,1.3521,103.8198,iOS17-E7:3D:7E:73:20:AD,password,11,20,2.5952502097862604,1133.0601239007178,"[""resource_013"", ""resource_020"", ""resource_026"", ""resource_045"", ""resource_046"", ""resource_047"", ""resource_049""]"
